date,total_mins
2020-01-01,5
2020-01-02,5
2020-01-03,5
2020-01-04,5
2020-01-05,50
2020-01-06,90
2020-01-07,65
2020-01-08,120
2020-01-09,60
2020-01-10,30
2020-01-11,150
2020-01-12,30
2020-01-13,0
2020-01-14,10
2020-01-15,120
2020-01-16,30
2020-01-17,0
2020-01-18,90
2020-01-19,60
2020-01-20,90
2020-01-21,20
2020-01-22,80
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,60
2020-01-27,90
2020-01-28,50
2020-01-29,90
2020-01-30,20
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,58
2020-02-04,27
2020-02-05,120
2020-02-06,40
2020-02-07,0
2020-02-08,90
2020-02-09,69
2020-02-10,0
2020-02-11,62
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
,0
,0
,0
,0
,0