,,
,,
date,log,total mins
2020-01-01,"5 pullups, 2 sun salutes
",5
2020-01-02,"5 pullups, 1 sun salute
",5
2020-01-03,"5 pullups, 1 sun salute",5
2020-01-04,"5 pullups, 3 sun salutes",5
2020-01-05,"acroyoga, 1 sun salute, core circuit, shoulder circuit, 20 min run",50
2020-01-06,concrete breakup,90
2020-01-07,croncrete breakup,65
2020-01-08,"climb, hiit circuit",120
2020-01-09,"30 mins cardio, hiit circuits",60
2020-01-10,walk,30
2020-01-11,concrete breakup,150
2020-01-12,walk,30
2020-01-13,-,0
2020-01-14,"2x core circuits, 2x shoulder circuits",10
2020-01-15,"climb
3x core circuits hiit style
3x shoulder circuits hiit style",120
2020-01-16,30 mins recovery spin bike,30
2020-01-17,-,0
2020-01-18,"climb
3 x core circuits
3 x shoulder circuits",90
2020-01-19,house work @ page,60
2020-01-20,"climb
3 x core circuits
3 x shoulder circuits
3 x glute circuits",90
2020-01-21,"treadmill, stretching",20
2020-01-22,"climb, core",80
2020-01-23,-,0
2020-01-24,-,0
2020-01-25,-,0
2020-01-26,benral hike with hannah,60
2020-01-27,"climb
treadmill
stretch",90
2020-01-28,brisk walk -- oakland hills,50
2020-01-29,climb,90
2020-01-30,"Pull-ups, handstands, core, stretching",20
2020-01-31,-,0
2020-02-01,-,0
2020-02-02,-,0
2020-02-03,"climb
core",58
2020-02-04,handstand circuit,27
2020-02-05,"climb
handstand work + core",120
2020-02-06,"5 sets of 5 reps : handstand sunnies, body weight squats, toes to bar
5 sets of 5 reps : pullups, 1 arm kbell swings, isometric bicycle crunches
spin bike",40
2020-02-07,,0
2020-02-08,"climb, 5x5 core, glue, shoulder circuits",90
2020-02-09,brisk river hike,69
2020-02-10,,0
2020-02-11,"treadmill, circuits",62
2020-02-12,,0
2020-02-13,,0
2020-02-14,,0
2020-02-15,,0
2020-02-16,,0
2020-02-17,,0
2020-02-18,,0
2020-02-19,,0
2020-02-20,,0
2020-02-21,,0
2020-02-22,,0
2020-02-23,,0
2020-02-24,,0
2020-02-25,,0
2020-02-26,,0
2020-02-27,,0
2020-02-28,,0
2020-02-29,,0
2020-03-01,,0
,,0
,,0
,,0
,,0
,,0