date,hrv
2020-01-04,47
2020-01-05,45
2020-01-06,37
2020-01-07,27
2020-01-08,23
2020-01-09,31
2020-01-10,20
2020-01-11,37
2020-01-12,30
2020-01-13,45
2020-01-14,48
2020-01-15,32
2020-01-16,15
2020-01-17,36
2020-01-18,43
2020-01-19,33
2020-01-20,38
2020-01-21,22
2020-01-22,33
2020-01-23,14
2020-01-24,41
2020-01-25,42
2020-01-26,37
2020-01-27,31
2020-01-28,38
2020-01-29,30
2020-01-30,28
2020-01-31,36
2020-02-01,23
2020-02-02,42
2020-02-03,47
2020-02-04,45
2020-02-05,50
2020-02-06,39
2020-02-07,18
2020-02-08,18
2020-02-09,37
2020-02-10,46
2020-02-11,23
2020-02-12,39
2020-02-13,15
2020-02-14,52
2020-02-15,47
2020-02-16,45
2020-02-17,39
2020-02-18,46
2020-02-19,45
2020-02-20,31
2020-02-21,34
2020-02-22,42
2020-02-23,39
2020-02-24,45
2020-02-25,46
2020-02-26,24
2020-02-27,43