date,meditate & breathe
2020-01-01,TRUE
2020-01-02,TRUE
2020-01-03,TRUE
2020-01-04,FALSE
2020-01-05,TRUE
2020-01-06,TRUE
2020-01-07,TRUE
2020-01-08,TRUE
2020-01-09,FALSE
2020-01-10,TRUE
2020-01-11,TRUE
2020-01-12,TRUE
2020-01-13,TRUE
2020-01-14,TRUE
2020-01-15,FALSE
2020-01-16,TRUE
2020-01-17,TRUE
2020-01-18,FALSE
2020-01-19,TRUE
2020-01-20,TRUE
2020-01-21,TRUE
2020-01-22,TRUE
2020-01-23,TRUE
2020-01-24,TRUE
2020-01-25,TRUE
2020-01-26,TRUE
2020-01-27,TRUE
2020-01-28,TRUE
2020-01-29,TRUE
2020-01-30,TRUE
2020-01-31,TRUE
2020-02-01,TRUE
2020-02-02,TRUE
2020-02-03,TRUE
2020-02-04,TRUE
2020-02-05,TRUE
2020-02-06,TRUE
2020-02-07,TRUE
2020-02-08,TRUE
2020-02-09,TRUE
2020-02-10,TRUE
2020-02-11,TRUE
2020-02-12,TRUE
2020-02-13,FALSE
2020-02-14,TRUE
2020-02-15,FALSE
2020-02-16,TRUE
2020-02-17,TRUE
2020-02-18,TRUE
2020-02-19,TRUE
2020-02-20,TRUE
2020-02-21,TRUE
2020-02-22,TRUE