date,hrs,mins
2020-01-01,7,0
2020-01-02,11,0
2020-01-03,7,0
2020-01-04,7,45
2020-01-05,8,12
2020-01-06,5,30
2020-01-07,6,12
2020-01-08,6,30
2020-01-09,7,30
2020-01-10,4,27
2020-01-11,8,15
2020-01-12,7,30
2020-01-13,6,48
2020-01-14,6,30
2020-01-15,6,27
2020-01-16,4,18
2020-01-17,7,48
2020-01-18,8,30
2020-01-19,8,30
2020-01-20,6,0
2020-01-21,4,30
2020-01-22,4,30
2020-01-23,6,30
2020-01-24,4,30
2020-01-25,8,30
2020-01-26,6,45
2020-01-27,6,48
2020-01-28,6,15
2020-01-29,5,30
2020-01-30,7,0
2020-01-31,7,0
2020-02-01,7,18
2020-02-02,6,18
2020-02-03,8,18
2020-02-04,5,54
2020-02-05,6,42
2020-02-06,6,54
2020-02-07,5,0
2020-02-08,10,54
2020-02-09,7,30
2020-02-10,6,0
2020-02-11,6,18
2020-02-12,6,24
2020-02-13,5,51
2020-02-14,6,24
2020-02-15,6,54
2020-02-16,8,0
2020-02-17,8,19.8
2020-02-18,6,42
2020-02-19,6,54
2020-02-20,6,0
2020-02-21,5,54
2020-02-22,8,0
2020-02-23,7,0
2020-02-24,5,42
2020-02-25,5,6
2020-02-26,7,0
2020-02-27,7,6